R,preg,plas,pres,skin,insu,mass,pedi,age
0,-0.1232,-0.0352,0.0133,-0.0006,0.0012,-0.0897,-0.9452,-0.0149
1,-0.1196,-0.0342,0.0127,-0.0005,0.0011,-0.0871,-0.9208,-0.0152
10,-0.0985,-0.028,0.0089,-0.0003,0.0005,-0.071,-0.7713,-0.0163
100,-0.0491,-0.0127,0.0011,-0.0012-0.0004,-0.0312,-0.3898,-0.0127,-0.0127
1000,-0.0104,-0.0024,-0.0004,-0.0006,-0.0002,-0.0059,-0.0827,-0.0031
